 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  i   
 -2.6824 -2.6810 -2.6887 -2.6536 -2.5424 -2.3113 -1.9402 -1.3942 -0.9751 -0.6367
 -0.3939 -0.2329 -0.1223 -0.0402  0.0241  0.1403  0.2200  0.2744  0.3054
 -2.4353 -2.4171 -2.4063 -2.3865 -2.3297 -2.1870 -1.8850 -1.4056 -0.9767 -0.6376
 -0.3956 -0.2333 -0.1220 -0.0402  0.0236  0.1366  0.2119  0.2620  0.2900  0.2988
 -2.2176 -2.1741 -2.1443 -2.1147 -2.0640 -1.9589 -1.7486 -1.3895 -0.9920 -0.6595
 -0.4140 -0.2452 -0.1290 -0.0450  0.0198  0.1321  0.2046  0.2516  0.2772  0.2848
  0.2781
 -2.0328 -1.9594 -1.9049 -1.8601 -1.8098 -1.7310 -1.5890 -1.3341 -1.0020 -0.6881
 -0.4405 -0.2641 -0.1409 -0.0529  0.0139  0.1273  0.1980  0.2429  0.2670  0.2739
  0.2675  0.2504
 -1.8835 -1.7799 -1.6983 -1.6329 -1.5741 -1.5075 -1.4100 -1.2411 -0.9879 -0.7096
 -0.4689 -0.2863 -0.1561 -0.0629  0.0069  0.1227  0.1923  0.2356  0.2588  0.2652
  0.2589  0.2429  0.2184  0.1867
 -1.7551 -1.6322 -1.5280 -1.4412 -1.3675 -1.2990 -1.2228 -1.1130 -0.9370 -0.7108
 -0.4893 -0.3080 -0.1726 -0.0741 -0.0008  0.1186  0.1879  0.2298  0.2522  0.2585
  0.2522  0.2366  0.2134  0.1835  0.1479  0.1073  0.0612  0.0087 -0.0456 -0.0983
 -1.5646 -1.4653 -1.3702 -1.2790 -1.1948 -1.1179 -1.0444 -0.9640 -0.8489 -0.6834
 -0.4953 -0.3242 -0.1880 -0.0854 -0.0087  0.1152  0.1850  0.2256  0.2473  0.2535
  0.2472  0.2317  0.2090  0.1801  0.1460  0.1078  0.0650  0.0171 -0.0357 -0.0904
 -0.1435
 -1.4022 -1.2616 -1.1554 -1.0762 -1.0109 -0.9482 -0.8822 -0.8118 -0.7320 -0.6210
 -0.4775 -0.3282 -0.1981 -0.0949 -0.0157  0.1128  0.1838  0.2236  0.2442  0.2502
