 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  H   
  2.5417  2.5255  2.4918  2.4449  2.3909  2.2444  2.0940  1.9455  1.8015  1.6623
  1.5273  1.3959  1.2678  1.1427  1.0206  0.9012  0.7847  0.6712  0.5606  0.4527
  0.3482
  2.6072  2.5751  2.5443  2.5163  2.4931  2.4760  2.4642  2.4541  2.4424  2.4289
  2.4173  2.4107  2.4063  2.3937  2.3659  2.2413  2.0928  1.9444  1.8001  1.6609
  1.5263  1.3956  1.2684  1.1442  1.0231  0.9048  0.7892  0.6764  0.5666  0.4595
  0.3552
  2.6218  2.5912  2.5594  2.5272  2.4961  2.4672  2.4414  2.4185  2.3967  2.3740
  2.3500  2.3265  2.3068  2.2938  2.2839  2.2225  2.0925  1.9455  1.8014  1.6623
  1.5282  1.3983  1.2721  1.1490  1.0289  0.9116  0.7971  0.6854  0.5765  0.4702
  0.3666
