 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = UX   
-10.9935 -9.7779 -8.6367 -7.6201 -6.7676 -6.0968 -5.5925 -5.2185 -4.9327 -4.6970
 -4.4879 -4.2981 -4.1259 -3.9587 -3.7899 -3.3006 -2.7526 -2.2466 -1.7964 -1.4059
 -1.0767 -0.8080 -0.5983 -0.4457 -0.3433 -0.2787 -0.2393 -0.2154 -0.2011 -0.1924
 -0.1874
-11.4818-10.3347 -9.2124 -8.1656 -7.2379 -6.4563 -5.8270 -5.3391 -4.9652 -4.6723
 -4.4291 -4.2135 -4.0160 -3.8337 -3.6633 -3.2689 -2.8179 -2.3197 -1.8653 -1.4662
 -1.1242 -0.8397 -0.6125 -0.4410 -0.3215 -0.2446 -0.1985 -0.1725 -0.1592 -0.1539
 -0.1524
-11.8753-10.8172 -9.7510 -8.7194 -7.7652 -6.9177 -6.1951 -5.6013 -5.1276 -4.7539
 -4.4546 -4.2052 -3.9859 -3.7850 -3.5972 -3.1850 -2.8116 -2.3936 -1.9474
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = UX   
-11.2904-10.4816 -9.6395 -8.7189 -7.8147 -7.1382 -6.7127 -6.3945 -6.1300 -5.9057
 -5.6873 -5.4719 -5.2605 -5.0509 -4.8418 -4.3090 -3.7653 -3.2148 -2.6600
-10.3204 -9.8841 -9.3182 -8.6262 -7.7849 -7.0167 -6.5076 -6.1394 -5.8492 -5.6063
 -5.3758 -5.1536 -4.9376 -4.7253 -4.5138 -3.9831 -3.4452 -2.9144 -2.4131 -1.9561
 -9.5029 -9.2105 -8.8371 -8.4111 -7.8069 -7.0445 -6.4146 -5.9774 -5.6498 -5.3827
 -5.1401 -4.9102 -4.6897 -4.4754 -4.2642 -3.7402 -3.2151 -2.7025 -2.2281 -1.8082
 -1.4509
 -8.8737 -8.4170 -8.2636 -8.0071 -7.6668 -7.1334 -6.4663 -5.9227 -5.5341 -5.2321
 -4.9744 -4.7345 -4.5073 -4.2892 -4.0770 -3.5587 -3.0457 -2.5473 -2.0903 -1.6926
 -1.3572 -1.0875
 -8.6114 -7.8810 -7.5658 -7.4757 -7.3062 -7.0295 -6.5720 -5.9937 -5.5109 -5.1557
 -4.8729 -4.6204 -4.3841 -4.1598 -3.9439 -3.4266 -2.9226 -2.4356 -1.9900 -1.6051
 -1.2834 -1.0238 -0.8277 -0.6839
 -8.8291 -7.8461 -7.2155 -6.8862 -6.7733 -6.6783 -6.4645 -6.0925 -5.5973 -5.1610
 -4.8305 -4.5611 -4.3143 -4.0821 -3.8606 -3.3383 -2.8390 -2.3599 -1.9214 -1.5429
 -1.2280 -0.9733 -0.7786 -0.6382 -0.5369 -0.4593 -0.3961 -0.3406 -0.2881 -0.2372
 -9.3010 -8.1064 -7.2428 -6.6752 -6.3364 -6.1627 -6.0733 -5.9370 -5.6622 -5.2592
 -4.8594 -4.5503 -4.2907 -4.0500 -3.8223 -3.2914 -2.7923 -2.3172 -1.8820 -1.5046
 -1.1904 -0.9358 -0.7388 -0.5960 -0.4963 -0.4248 -0.3701 -0.3257 -0.2868 -0.2496
 -0.2118
 -9.9213 -8.6045 -7.5346 -6.7570 -6.2286 -5.8842 -5.6634 -5.5193 -5.4026 -5.2325
 -4.9494 -4.5966 -4.3060 -4.0560 -3.8218 -3.2816 -2.7801 -2.3059 -1.8707 -1.4905
 -1.1713 -0.9121 -0.7090 -0.5599 -0.4570 -0.3870 -0.3376 -0.3002 -0.2705 -0.2450
 -0.2206
-10.6864 -9.2308 -8.0328 -7.0673 -6.3530 -5.8508 -5.5036 -5.2561 -5.0677 -4.9141
 -4.7709 -4.5961 -4.3448 -4.0860 -3.8468 -3.2991 -2.7942 -2.3189 -1.8813 -1.4954
 -1.1684 -0.9000 -0.6879 -0.5295 -0.4196 -0.3471 -0.2995 -0.2672 -0.2437 -0.2256
 -0.2109
-11.2766 -9.8881 -8.6597 -7.5764 -6.6960 -6.0274 -5.5410 -5.1893 -4.9262 -4.7141
 -4.5320 -4.3709 -4.2200 -4.0488 -3.8599 -3.3442 -2.8381 -2.3633 -1.9239 -1.5311
 -1.1927 -0.9111 -0.6854 -0.5133 -0.3912 -0.3105 -0.2598 -0.2285 -0.2088 -0.1962
 -0.1876
-11.7120-10.4691 -9.2937 -8.1804 -7.1986 -6.3907 -5.7594 -5.2837 -4.9277 -4.6532
 -4.4286 -4.2332 -4.0583 -3.9000 -3.7457 -3.3577 -2.8977 -2.4249 -1.9856 -1.5878
 -1.2384 -0.9422 -0.7006 -0.5120 -0.3736 -0.2799 -0.2211 -0.1863 -0.1670 -0.1573
 -0.1525
-11.9927-10.9737 -9.8464 -8.7791 -7.7704 -6.8839 -6.1369 -5.5383 -5.0724 -4.7118
 -4.4281 -4.1949 -3.9923 -3.8106 -3.5042 -3.3396 -2.9730 -2.5037 -2.0664
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value = UX   
-11.4857-10.4094 -9.3907 -8.4249 -7.5588 -6.9720 -6.5911 -6.3168 -6.0831 -5.8848
 -5.6885 -5.4935 -5.2999 -5.1066 -4.9123 -4.4123 -3.8965 -3.3696 -2.8346
-10.6280 -9.9885 -9.2757 -8.3964 -7.5188 -6.8203 -6.3629 -6.0482 -5.7935 -5.5818
 -5.3785 -5.1808 -4.9866 -4.7939 -4.6000 -4.1058 -3.5947 -3.0813 -2.5895 -2.1339
