 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  B   
 -0.7760 -0.6736 -0.5886 -0.5169 -0.4542 -0.3973 -0.3449 -0.2963 -0.2515 -0.2109
 -0.1751
 -6.0215 -5.4308 -4.9016 -4.4423 -4.0489 -3.7154 -3.4340 -3.1960 -2.9934 -2.8190
 -2.6657 -2.5271 -2.3981 -2.2749 -2.1542 -1.8323 -1.5073 -1.2500 -1.0567 -0.9059
 -0.7841 -0.6846 -0.6036 -0.5373 -0.4813 -0.4317 -0.3865 -0.3444 -0.3053 -0.2694
 -0.2371
 -6.3438 -5.7348 -5.1810 -4.6816 -4.2475 -3.8768 -3.5623 -3.2952 -3.0666 -2.8693
 -2.6964 -2.5423 -2.4017 -2.2702 -2.1445 -1.8426 -1.5377 -1.2691 -1.0672 -0.9136
 -0.7918 -0.6937 -0.6149 -0.5523 -0.5017 -0.4590 -0.4213 -0.3865 -0.3541 -0.3240
 -0.2964
 -6.5815 -6.0022 -5.4484 -4.9389 -4.4800 -4.0797 -3.7351 -3.4386 -3.1830 -2.9606
 -2.7652 -2.5914 -2.4346 -2.2908 -2.1402 -1.8413 -1.5781 -1.2968 -1.0821
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  B   
 -7.2053 -7.0969 -6.9788 -6.8368 -6.6956 -6.4390 -5.9781 -5.3407 -4.7792 -4.2245
 -3.8611 -3.5679 -3.3182 -3.0978 -2.8968 -2.4615
 -6.5918 -6.4706 -6.3437 -6.1992 -6.0335 -5.7889 -5.4042 -4.8745 -4.3519 -3.9282
 -3.5943 -3.3166 -3.0744 -2.8580 -2.6617 -2.2438 -1.8949 -1.5838 -1.2974
 -6.0762 -5.9381 -5.7987 -5.6487 -5.4728 -5.2464 -4.9280 -4.4948 -4.0620 -3.6919
 -3.3860 -3.1244 -2.8912 -2.6795 -2.4868 -2.0802 -1.7502 -1.4668 -1.2144 -0.9876
 -0.7895
 -5.6585 -5.4994 -5.3438 -5.1853 -5.0135 -4.8115 -4.5495 -4.2016 -3.8405 -3.5156
 -3.2362 -2.9913 -2.7686 -2.5623 -2.3721 -1.9707 -1.6522 -1.3867 -1.1559 -0.9509
 -0.7694 -0.6136 -0.4783
 -5.3559 -5.1651 -4.9854 -4.8111 -4.6354 -4.4484 -4.2325 -3.9564 -3.6560 -3.3730
 -3.1206 -2.8946 -2.6852 -2.4868 -2.2998 -1.9001 -1.5874 -1.3331 -1.1168 -0.9276
 -0.7607 -0.6156 -0.4900 -0.3797 -0.2805
 -5.2000 -4.9523 -4.7336 -4.5328 -4.3416 -4.1547 -3.9627 -3.7427 -3.4946 -3.2501
 -3.0245 -2.8185 -2.6251 -2.4379 -2.2566 -1.8574 -1.5460 -1.2984 -1.0920 -0.9143
 -0.7592 -0.6242 -0.5075 -0.4052 -0.3139 -0.2309
 -5.1902 -4.8512 -4.5662 -4.3271 -4.1207 -3.9303 -3.7457 -3.5581 -3.3522 -3.1415
 -2.9406 -2.7538 -2.5771 -2.4042 -2.2321 -1.8349 -1.5215 -1.2772 -1.0774 -0.9083
 -0.7627 -0.6365 -0.5275 -0.4323 -0.3474 -0.2707 -0.2000 -0.1334 -0.0739 -0.0355
 -5.2812 -4.8755 -4.5191 -4.2144 -3.9564 -3.7366 -3.5485 -3.3840 -3.2226 -3.0501
 -2.8730 -2.7008 -2.5369 -2.3779 -2.2180 -1.8281 -1.5101 -1.2657 -1.0702 -0.9071
 -0.7688 -0.6504 -0.5486 -0.4603 -0.3819 -0.3109 -0.2465 -0.1870 -0.1315 -0.0831
 -0.0539
 -5.4469 -4.9844 -4.5748 -4.2177 -3.9121 -3.6534 -3.4342 -3.2467 -3.0835 -2.9366
