 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -6.8113 -6.4646 -6.1757 -5.9430 -5.7615 -5.6249 -5.5260 -5.4521 -5.3788 -5.2878
 -5.1760 -5.0434 -4.8891 -4.7126 -4.5144 -3.9685 -3.4368 -2.9593 -2.5417 -2.1917
 -1.9122 -1.6969 -1.5390 -1.4302 -1.3584 -1.3104 -1.2761 -1.2500 -1.2281 -1.2059
 -1.1780
 -7.2275 -6.7868 -6.4123 -6.0959 -5.8336 -5.6197 -5.4486 -5.3159 -5.2165 -5.1343
 -5.0486 -4.9410 -4.8048 -4.6432 -4.4596 -3.9348 -3.4093 -2.9373 -2.5236 -2.1714
 -1.8854 -1.6623 -1.4964 -1.3806 -1.3053 -1.2579 -1.2279 -1.2074 -1.1926 -1.1805
 -1.1677
 -7.8009 -7.2369 -6.7602 -6.3571 -6.0168 -5.7317 -5.4952 -5.3008 -5.1421 -5.0107
 -4.8970 -4.7928 -4.6876 -4.5653 -4.4144 -3.9306 -3.4102 -2.9393 -2.5260 -2.1695
 -1.8739 -1.6398 -1.4627 -1.3365 -1.2536 -1.2031 -1.1739 -1.1573 -1.1476 -1.1416
 -1.1372
 -8.6236 -7.8959 -7.2791 -6.7610 -6.3257 -5.9602 -5.6528 -5.3947 -5.1781 -4.9947
 -4.8356 -4.6930 -4.5616 -4.4385 -4.3165 -3.9390 -3.4448 -2.9734 -2.5584 -2.1961
 -1.8887 -1.6395 -1.4468 -1.3056 -1.2099 -1.1508 -1.1178 -1.1012 -1.0944 -1.0928
 -1.0940
 -9.6536 -8.7752 -8.0061 -7.3442 -6.7866 -6.3180 -5.9240 -5.5916 -5.3098 -5.0695
 -4.8618 -4.6785 -4.5126 -4.3597 -4.2180 -3.8879 -3.4899 -3.0283 -2.6101 -2.2422
 -1.9241 -1.6591 -1.4487 -1.2896 -1.1771 -1.1046 -1.0629 -1.0422 -1.0347 -1.0353
 -1.0405
-10.7226 -9.7592 -8.8804 -8.0967 -7.4097 -6.8229 -6.3240 -5.9011 -5.5419 -5.2351
 -4.9708 -4.7406 -4.5364 -4.3521 -4.1189 -3.7773 -3.5455 -3.1040 -2.6811
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  u   
 -7.8254 -7.8437 -7.8472 -7.8301 -7.7873 -7.7121 -7.5969 -7.4433 -7.2795 -7.1179
 -6.9648 -6.8123 -6.6471 -6.4540 -6.2325 -5.5728 -4.8618 -4.1864 -3.5874
