 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  r   
 -6.2968 -5.8795 -5.5064 -5.1858 -4.9576 -4.6617 -4.1166 -3.2693 -2.4091 -1.7258
 -1.2591 -0.9515 -0.7445 -0.5971 -0.4836 -0.2787 -0.1352 -0.0313  0.0439
 -6.0090 -5.5526 -5.1470 -4.8016 -4.5121 -4.2173 -3.7324 -3.0261 -2.2865 -1.6675
 -1.2230 -0.9211 -0.7162 -0.5714 -0.4615 -0.2644 -0.1274 -0.0302  0.0382  0.0864
 -5.8406 -5.3531 -4.9094 -4.5218 -4.1945 -3.8892 -3.4630 -2.8674 -2.2295 -1.6637
 -1.2311 -0.9249 -0.7136 -0.5650 -0.4544 -0.2601 -0.1267 -0.0331  0.0317  0.0767
  0.1067
 -5.7033 -5.2078 -4.7434 -4.3217 -3.9497 -3.6178 -3.2447 -2.7387 -2.1886 -1.6760
 -1.2587 -0.9478 -0.7267 -0.5705 -0.4561 -0.2615 -0.1300 -0.0379  0.0249  0.0678
  0.0964  0.1139
 -5.4072 -4.9739 -4.5502 -4.1441 -3.7600 -3.3989 -3.0451 -2.6172 -2.1416 -1.6832
 -1.2891 -0.9792 -0.7491 -0.5835 -0.4630 -0.2653 -0.1348 -0.0434  0.0185  0.0600
  0.0873  0.1036  0.1124  0.1162
 -4.9026 -4.4636 -4.1052 -3.7960 -3.4987 -3.1875 -2.8501 -2.4829 -2.0769 -1.6732
 -1.3102 -1.0095 -0.7756 -0.6014 -0.4734 -0.2696 -0.1396 -0.0485  0.0131  0.0537
  0.0797  0.0948  0.1022  0.1043  0.1025  0.0963  0.0847  0.0657  0.0408  0.0148
 -4.6419 -4.1063 -3.6638 -3.3107 -3.0225 -2.7690 -2.5212 -2.2470 -1.9392 -1.6162
 -1.3049 -1.0290 -0.8003 -0.6214 -0.4862 -0.2734 -0.1433 -0.0525  0.0093  0.0493
  0.0742  0.0879  0.0934  0.0936  0.0903  0.0839  0.0741  0.0593  0.0380  0.0104
 -0.0187
 -4.5899 -3.9873 -3.4630 -3.0293 -2.6792 -2.3896 -2.1330 -1.8857 -1.6400 -1.4083
 -1.1939 -0.9921 -0.8033 -0.6369 -0.5000 -0.2768 -0.1452 -0.0547  0.0073  0.0473
  0.0712  0.0834  0.0869  0.0845  0.0787  0.0707  0.0600  0.0468  0.0295  0.0062
 -0.0242
 -4.6347 -4.0016 -3.4218 -2.9207 -2.5062 -2.1687 -1.8884 -1.6416 -1.4124 -1.1992
 -1.0113 -0.8549 -0.7240 -0.6077 -0.4978 -0.2781 -0.1437 -0.0535  0.0084  0.0483
  0.0714  0.0820  0.0832  0.0779  0.0689  0.0580  0.0455  0.0313  0.0149 -0.0048
 -0.0301
 -4.6974 -4.0673 -3.4667 -2.9242 -2.4584 -2.0754 -1.7641 -1.5069 -1.2863 -1.0903
 -0.9158 -0.7649 -0.6404 -0.5397 -0.4559 -0.2778 -0.1420 -0.0511  0.0110  0.0513
  0.0742  0.0836  0.0830  0.0750  0.0626  0.0480  0.0323  0.0159 -0.0015 -0.0207
 -0.0427
 -4.7107 -4.1098 -3.5215 -2.9666 -2.4756 -2.0594 -1.7192 -1.4444 -1.2190 -1.0297
 -0.8661 -0.7243 -0.6025 -0.5006 -0.4167 -0.2605 -0.1378 -0.0464  0.0160  0.0567
  0.0798  0.0888  0.0868  0.0765  0.0607  0.0422  0.0225  0.0026 -0.0175 -0.0382
 -0.0600
 -4.6800 -4.1075 -3.5462 -3.0107 -2.5170 -2.0880 -1.7288 -1.4359 -1.1990 -1.0056
 -0.8443 -0.7069 -0.5887 -0.4873 -0.3802 -0.2262 -0.1311 -0.0394  0.0234
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  r   
 -6.2977 -5.9131 -5.5800 -5.3087 -5.0876 -4.8488 -4.3644 -3.5292 -2.6578 -1.8975
 -1.3599 -1.0032 -0.7650 -0.5977 -0.4746 -0.2609 -0.1165 -0.0130  0.0619
 -6.0161 -5.5937 -5.2309 -4.9391 -4.7081 -4.4716 -4.0268 -3.3239 -2.5493 -1.8517
 -1.3352 -0.9817 -0.7428 -0.5769 -0.4552 -0.2483 -0.1094 -0.0113  0.0574  0.1059
 -5.8572 -5.3996 -4.9955 -4.6591 -4.3930 -4.1524 -3.7747 -3.1860 -2.5101 -1.8670
 -1.3602 -0.9988 -0.7495 -0.5767 -0.4519 -0.2452 -0.1088 -0.0136  0.0519  0.0973
  0.1280
 -5.7560 -5.2794 -4.8427 -4.4604 -4.1437 -3.8786 -3.5603 -3.0693 -2.4858 -1.9012
 -1.4083 -1.0382 -0.7748 -0.5903 -0.4586 -0.2477 -0.1121 -0.0180  0.0461  0.0896
  0.1189  0.1371
