 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  R   
 -0.7530 -0.5798 -0.4273 -0.3001 -0.1992 -0.0352  0.0675  0.1390  0.1868  0.2158
  0.2305  0.2346  0.2314  0.2243  0.2145  0.2023  0.1871  0.1685  0.1438  0.1123
  0.0795
 -2.6215 -2.3327 -2.0611 -1.8154 -1.6011 -1.4155 -1.2491 -1.0913 -0.9343 -0.7815
 -0.6441 -0.5202 -0.4047 -0.2972 -0.2015 -0.0337  0.0685  0.1385  0.1854  0.2136
  0.2271  0.2295  0.2239  0.2140  0.2019  0.1885  0.1732  0.1557  0.1351  0.1091
  0.0756
 -2.6476 -2.3504 -2.0608 -1.7867 -1.5380 -1.3205 -1.1318 -0.9645 -0.8105 -0.6654
 -0.5325 -0.4185 -0.3257 -0.2487 -0.1796 -0.0292  0.0732  0.1418  0.1875  0.2148
  0.2272  0.2279  0.2197  0.2064  0.1910  0.1749  0.1580  0.1401  0.1208  0.0981
  0.0706
 -2.6792 -2.3873 -2.0927 -1.8058 -1.5355 -1.2926 -1.0817 -0.9005 -0.7430 -0.6031
 -0.4776 -0.3664 -0.2718 -0.1950 -0.1336 -0.0158  0.0793  0.1471  0.1919  0.2188
  0.2307  0.2301  0.2199  0.2033  0.1840  0.1642  0.1443  0.1245  0.1041  0.0824
  0.0584
 -2.6992 -2.4114 -2.1243 -1.8359 -1.5582 -1.3013 -1.0738 -0.8789 -0.7133 -0.5717
 -0.4489 -0.3418 -0.2488 -0.1698 -0.1043  0.0106  0.0921  0.1555  0.1992  0.2256
  0.2373  0.2361  0.2245  0.2053  0.1821  0.1579  0.1340  0.1108  0.0881  0.0652
  0.0415
 -2.7128 -2.4246 -2.1408 -1.8600 -1.5837 -1.3237 -1.0892 -0.8847 -0.7110 -0.5645
 -0.4399 -0.3331 -0.2408 -0.1612 -0.0917  0.0500  0.1116  0.1670  0.2094
 [Fe/H] = -0.50 [alpha/Fe] = 0.20 BC value =  R   
 -4.1800 -4.0358 -3.8866 -3.7250 -3.6052 -3.3796 -2.9686 -2.4390 -1.8576 -1.3390
 -0.9123 -0.6558 -0.4747 -0.3420 -0.2391 -0.0483
