 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  V   
 -6.4601 -6.1139 -5.8062 -5.5280 -5.2900 -4.9661 -4.4178 -3.6229 -2.8653 -2.2797
 -1.8662 -1.5745 -1.3597 -1.1911 -1.0504 -0.7754 -0.5708 -0.4104 -0.2798
 -6.1247 -5.7297 -5.3826 -5.0752 -4.7852 -4.4578 -3.9823 -3.3189 -2.6836 -2.1676
 -1.7832 -1.5033 -1.2944 -1.1303 -0.9938 -0.7277 -0.5334 -0.3861 -0.2696 -0.1763
 -0.1018
 -5.9098 -5.4663 -5.0719 -4.7226 -4.4048 -4.0821 -3.6729 -3.1213 -2.5768 -2.1127
 -1.7490 -1.4743 -1.2662 -1.1027 -0.9675 -0.7045 -0.5145 -0.3739 -0.2655 -0.1797
 -0.1115 -0.0564 -0.0121
 -5.7439 -5.2746 -4.8444 -4.4554 -4.1034 -3.7723 -3.4198 -2.9658 -2.4967 -2.0794
 -1.7367 -1.4679 -1.2594 -1.0948 -0.9594 -0.6970 -0.5074 -0.3694 -0.2658 -0.1851
 -0.1215 -0.0703 -0.0270  0.0087  0.0363
 -5.4226 -5.0149 -4.6197 -4.2365 -3.8684 -3.5225 -3.1906 -2.8219 -2.4212 -2.0489
 -1.7304 -1.4707 -1.2637 -1.0980 -0.9618 -0.6990 -0.5077 -0.3697 -0.2685 -0.1913
 -0.1314 -0.0838 -0.0444 -0.0110  0.0171  0.0396
 -5.0060 -4.5654 -4.1995 -3.8819 -3.5852 -3.2870 -2.9788 -2.6674 -2.3347 -2.0098
 -1.7194 -1.4736 -1.2714 -1.1063 -0.9698 -0.7064 -0.5129 -0.3729 -0.2721 -0.1974
 -0.1405 -0.0963 -0.0604 -0.0299 -0.0034  0.0195  0.0368  0.0468  0.0489  0.0452
 -4.8268 -4.3086 -3.8693 -3.5058 -3.1983 -2.9256 -2.6736 -2.4297 -2.1802 -1.9279
 -1.6859 -1.4661 -1.2760 -1.1152 -0.9796 -0.7165 -0.5212 -0.3780 -0.2759 -0.2023
 -0.1478 -0.1070 -0.0749 -0.0481 -0.0246 -0.0039  0.0132  0.0265  0.0330  0.0306
  0.0219
 -4.8144 -4.2411 -3.7401 -3.3156 -2.9623 -2.6654 -2.4072 -2.1733 -1.9542 -1.7505
 -1.5707 -1.4090 -1.2577 -1.1162 -0.9877 -0.7277 -0.5314 -0.3848 -0.2798 -0.2057
