 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  J   
  1.8074  1.7664  1.7276  1.6925  1.6618  1.5991  1.5406  1.4759  1.4041  1.3266
  1.2444
  2.2474  2.1948  2.1417  2.0903  2.0422  1.9983  1.9591  1.9244  1.8911  1.8538
  1.8128  1.7704  1.7293  1.6913  1.6574  1.5892  1.5291  1.4644  1.3929  1.3160
  1.2349  1.1505
  2.2920  2.2414  2.1890  2.1355  2.0833  2.0334  1.9867  1.9437  1.9039  1.8644
  1.8225  1.7790  1.7360  1.6953  1.6583  1.5832  1.5206  1.4557  1.3845  1.3080
  1.2277  1.1445  1.0591  0.9718
  2.3328  2.2794  2.2293  2.1764  2.1228  2.0698  2.0184  1.9695  1.9232  1.8794
  1.8356  1.7909  1.7464  1.7035  1.6636  1.5809  1.5148  1.4491  1.3781  1.3020
  1.2221  1.1397  1.0556  0.9700  0.8833  0.7955  0.7059  0.6142  0.5242  0.4370
